City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ha'il,27.5219,41.6907,22.01,37,0,1.03,SA,1697584405
1,fale old settlement,-9.3852,-171.2468,28.11,75,56,3.21,TK,1697584406
2,afaahiti,-17.75,-149.2833,26.93,83,92,7.92,PF,1697584406
3,balabac,7.9868,117.0645,28.22,80,61,4.31,PH,1697584406
4,colonia,50.9333,6.95,8.25,79,0,2.57,DE,1697584205
5,grytviken,-54.2811,-36.5092,1.11,75,69,5.42,GS,1697584387
6,kudymkar,59.0173,54.656,4.12,67,78,9.15,RU,1697584407
7,atafu village,-8.5421,-172.5159,28.39,73,99,3.13,TK,1697584407
8,kone,-21.0595,164.8658,25.82,71,56,2.97,NC,1697584407
9,kodiak,57.79,-152.4072,8.73,87,100,4.12,US,1697584407
10,khanpur mahar,27.8436,69.4137,23.21,51,3,6.04,PK,1697584408
11,blackmans bay,-43.0167,147.3167,16.4,55,37,0.93,AU,1697584408
12,luanda,-8.8368,13.2343,23.78,88,86,4.26,AO,1697584408
13,qaqortoq,60.7167,-46.0333,-0.65,55,7,4.21,GL,1697584408
14,udachny,66.4167,112.4,-9.75,85,86,5.05,RU,1697584409
15,olonkinbyen,70.9221,-8.7187,0.46,75,100,2.22,SJ,1697584409
16,badger,64.8,-147.5333,1.14,82,75,2.06,US,1697584409
17,college,64.8569,-147.8028,1.18,81,75,2.06,US,1697584390
18,adamstown,-25.066,-130.1015,22.46,85,100,4.22,PN,1697584410
19,puerto natales,-51.7236,-72.4875,7.76,87,100,1.2,CL,1697584410
20,thompson,55.7435,-97.8558,11.09,71,40,2.57,CA,1697584411
21,broome,42.2506,-75.833,11.46,88,92,1.37,US,1697584411
22,port-aux-francais,-49.35,70.2167,2.19,74,97,6.88,TF,1697584411
23,kingston,17.997,-76.7936,29.02,85,58,0.45,JM,1697584331
24,ushuaia,-54.8,-68.3,6.35,86,100,4.02,AR,1697584389
25,luderitz,-26.6481,15.1594,19.82,56,1,4.41,NA,1697584412
26,bredasdorp,-34.5322,20.0403,14.66,91,0,1.17,ZA,1697584412
27,moose jaw,50.4001,-105.5344,18.15,45,40,8.75,CA,1697584309
